Timestamp,black_x,black_y,yellow_x,yellow_y
1727469113.477649,4.42,4.47,-4.87,-0.03
1727469113.51907,4.42,4.47,-4.87,-0.05
1727469113.5428748,4.44,4.47,-4.87,-0.02
1727469113.577782,4.42,4.47,-4.87,-0.05
1727469113.605003,4.42,4.47,-4.87,-0.03
1727469113.641684,4.42,4.47,-4.87,-0.05
1727469113.6761332,4.42,4.47,-4.87,-0.03
1727469113.712194,4.44,4.47,-4.87,-0.05
1727469113.741513,4.42,4.47,-4.87,-0.02
1727469113.7759502,4.42,4.47,-4.87,-0.03
1727469113.806297,4.42,4.47,-4.87,-0.02
1727469113.836061,4.44,4.47,-4.87,-0.05
1727469113.8759098,4.42,4.47,-4.87,-0.02
1727469113.904994,4.44,4.47,-4.87,-0.05
1727469113.9399831,4.42,4.47,-4.87,-0.02
1727469113.9693298,4.42,4.47,-4.87,-0.05
1727469113.999881,4.44,4.47,-4.87,-0.02
1727469114.034341,4.42,4.47,-4.87,-0.05
1727469114.0755,4.42,4.47,-4.87,-0.02
1727469114.105098,4.42,4.47,-4.87,-0.05
1727469114.1404748,4.42,4.47,-4.87,-0.03
1727469114.16492,4.42,4.47,-4.87,-0.05
1727469114.2054038,4.42,4.47,-4.87,-0.05
1727469114.240924,4.42,4.47,-4.87,-0.03
1727469114.264502,4.42,4.47,-4.87,-0.02
1727469114.298465,4.44,4.47,-4.87,-0.05
1727469114.33315,4.44,4.47,-4.87,-0.03
1727469114.369527,4.44,4.47,-4.87,-0.03
1727469114.399075,4.44,4.47,-4.87,-0.05
1727469114.439703,4.44,4.47,-4.89,-0.05
1727469114.4694378,4.42,4.47,-4.87,-0.05
1727469114.504653,4.42,4.47,-4.87,-0.03
1727469114.529099,4.42,4.47,-4.87,-0.03
1727469114.5692549,4.42,4.47,-4.87,-0.02
1727469114.598648,4.42,4.47,-4.87,-0.05
1727469114.633378,4.42,4.47,-4.87,-0.02
1727469114.669088,4.42,4.47,-1000000,-1000000
1727469114.697993,4.44,4.47,-4.76,1.1
1727469114.733692,4.42,4.47,-4.58,2.68
1727469114.769034,4.42,4.47,-4.6,2.65
1727469114.793875,4.42,4.47,-4.65,2.29
1727469114.834142,4.42,4.47,-4.65,2.31
1727469114.8642821,4.42,4.47,-4.65,2.27
1727469114.8933492,4.42,4.47,-4.66,2.31
1727469114.928328,4.44,4.47,-4.65,2.29
